run_id,model_id,defense_id,attack_id,split,num_samples,seed,epsilon,alpha,attack_steps,clean_accuracy,robust_accuracy,attack_success_rate,mean_l2,mean_l2_successful,mean_linf,mean_linf_successful,attack_time_seconds,defense_time_seconds,total_time_seconds,checkpoint_name
resnet20__none__clean__test__seed42,resnet20,none,clean,test,10000,42,,,,0.8403,0.8403,0.0,0.0,,0.0,,0.0,0.0,0.0,resnet20_clean_best.pt
none__fgsm__eps2__seed42,resnet20,none,fgsm,test,10000,42,0.0078431372549019,,1.0,0.8403,0.1492,0.8226823753421397,0.4327687928199768,0.4330061499089214,0.0078431665897369,0.0078431663914284,1.4467443529974844,0.0,2.7882431500001985,resnet20_clean_best.pt
none__fgsm__eps4__seed42,resnet20,none,fgsm,test,10000,42,0.0156862745098039,,1.0,0.8403,0.0705,0.9163394025943116,0.8639747027397155,0.8641885088635729,0.0156863033771514,0.0156863033229654,1.622644053998556,0.0,3.100188385000365,resnet20_clean_best.pt
none__fgsm__eps8__seed42,resnet20,none,fgsm,test,10000,42,0.0313725490196078,,1.0,0.8403,0.0473,0.943829584672141,1.7232893459320069,1.723200319814676,0.0313725769519805,0.031372576782884,1.6538640539965854,0.0,3.2082087449998653,resnet20_clean_best.pt
none__fgsm__eps16__seed42,resnet20,none,fgsm,test,10000,42,0.0627450980392156,,1.0,0.8403,0.0562,0.9368082827561584,3.428422277069092,3.4277906883053664,0.0627451241016388,0.062745122700869,1.3499231560053886,0.0,2.657154155000171,resnet20_clean_best.pt
none__pgd__eps8__alpha2__steps20__seed42,resnet20,none,pgd,test,10000,42,0.0313725490196078,0.0078431372549019,20.0,0.8403,0.0,1.0,1.36685562915802,1.3684419016603713,0.0313725769519805,0.0313725772179777,27.52220584900533,0.0,28.872412601999716,resnet20_clean_best.pt
none__deepfool__steps50__seed42,resnet20,none,deepfool,test,10000,42,,,50.0,0.8403,0.0982,1.0,0.1033858931884169,0.1175381406161042,0.0123128014862537,0.0139565533504739,823.5530143650003,0.0,835.113201059,resnet20_clean_best.pt
none__cw_l2__steps100__seed42,resnet20,none,cw_l2,test,10000,42,,,100.0,0.8403,0.0,1.0,0.1564503616094589,0.1861835794620225,0.0173352668046951,0.0206298058612934,247.5553661710028,0.0,250.50451760500027,resnet20_clean_best.pt
resnet20__pgd_at__clean__test__seed42,resnet20,pgd_at,clean,test,10000,42,,,,0.6798,0.6798,0.0,0.0,,0.0,,0.0,0.0,0.0,resnet20_pgd_at_eps8_best.pt
pgd_at__fgsm__eps2__seed42,resnet20,pgd_at,fgsm,test,10000,42,0.0078431372549019,,1.0,0.6798,0.6152,0.0950279493968814,0.4331427698612213,0.4335013303225254,0.0078431665897369,0.0078431665436033,1.3600456760004818,0.0,2.6750849549998748,resnet20_pgd_at_eps8_best.pt
